Depth ,Age (cal. BP),Identifiable Sphagnum total,Woody plants/ rootlets,Vascular plants,UOM
9,16,0.666666667,24.33333333,30.33333333,44.66666667
19,125,47.66666667,9,21.66666667,21.66666667
29,236,29.33333333,17,42,11.66666667
39,339,25.33333333,22.33333333,33.33333333,19
50,427,46.66666667,16.33333333,22.33333333,14.66666667
59,493,49.33333333,5,40.33333333,5.333333333
69,566,53,9.666666667,24.66666667,12.66666667
79,643,36.33333333,22.66666667,25.33333333,15.66666667
89,719,37.33333333,15.33333333,35.33333333,12
100,803,34,10.33333333,36,19.66666667
109,875,54.66666667,11.33333333,29,5
119,959,44,17,32.66666667,6.333333333
129,1047,42,11,30.66666667,16.33333333
139,1134,27.66666667,14.66666667,32,25.66666667
149,1228,33,19.66666667,31.66666667,15.66666667
