Depth,AgeBP,S.s Sphagnum %,S.s Acutifolia %,S.s Cuspidata %,S.s Subsecunda %,Woody plants %,Rootlets % ,Ericaceous rootlets %,Vascular plants %,UOM %,fungal spores %,irrides shell %,leaf bud/ tip %,Sedge/ grass head tip %
9,16,0,0,0.66666667,0,16.99999977,2.333333302,4.99999993,30.333333,2.368686885,42.29798011,0,0,0
19,125,19.06666668,19.06666668,9.53333334,0,3.666666663,0,5.333333337,21.6666667,2.999999995,18.66666671,0,0,0
29,236,2.9333333,16.62222204,7.822222143,1.955555534,5.666666661,2.000000003,9.333333336,42,3.333333432,8.333333568,0,0,0
39,339,5.0666666,10.97777762,6.755555475,2.5333333,9.99999985,3.333333276,8.999999874,33.333333,2.666666663,16.33333334,0,0,0
50,427,17.11111125,17.11111125,12.44444455,0,0,0,16.333333,22.333333,13.33333364,1.333333364,0,0,0
59,493,4.9333333,11.51111102,32.88888868,0,0,0,5,40.333333,5.3333333,0,0,0,0
69,566,7.066666649,21.2,21.2,3.533333335,3.000000014,0,6.666666686,24.666667,8.333333555,0.666666684,0,3.66666676,0
79,643,12.11111099,18.1666665,1.211111099,4.844444388,10.66666682,0,12.00000018,25.333333,7.333333483,7.333333483,0,0.666666681,0.33333334
89,719,6.222222179,17.42222208,6.222222179,7.4666666,8.333333154,0.333333326,6.666666526,35.333333,3,1.666666668,0,7.333333332,0
100,803,12.46666668,10.2,10.2,1.133333332,2.999999907,0,7.333333093,36,13.66666689,4.666666754,0.666666678,0.666666678,0
109,875,20.04444458,12.75555562,10.9333334,10.9333334,3.999999877,0,7.333333123,29,5,0,0,0,0
119,959,8.8,10.26666665,17.6,7.333333348,8.666666674,0,8.333333326,32.666667,1.999999991,4.333333309,0,0,0
129,1047,7.000000014,18.19999999,15.40000001,1.399999999,2.333333332,0,8.666666668,30.666667,4.666666576,8.666666491,0,2.999999932,0
139,1134,2.7666667,10.14444458,14.75555572,0,1.66666671,0.666666682,12.33333361,32,0,25.01687795,0,0.649789038,0
149,1228,4.399999989,14.29999999,10.99999999,3.3,8.333333483,0,11.33333352,31.666667,1.000000021,14.33333364,0,0.33333334,0
