Depths,Age (14C years BP),Age (years BP),Difflugia oblonga type,Amphitrema stenostoma,Amphitrema wrightianum,Arcella discoides type,Gibbocarina (Nebela) tubulosa type,Archerella flavum ,Centropyxis aculeata type,Difflugia pristis type,Pseudodifflugia fascicularis,Pseudodifflugia fulva type,Hyalosphenia elegans,Cyclopyxis arcelloides type,Hyalosphenia ovalis,Nebela collaris type,Heleopera petricola,Heleopera sphagni,Hyalosphenia subflava,Euglypha tuberculata type,Centropyxis cassis type,Difflugia pulex,Heleopera sylvatica,Euglypha rotunda type,Heleopera rosea,Assulina seminulum,Hyalosphenia papilio ,Nebela flabellulum ,Nebela tincta,Longinebela ,Assulina muscorum,Difflugiella (Cryptodifflugia) oviformis,Corythion-trinema type,Trigonopyxis arcula type
9,,,0,0,0,0,0,0.980392157,0,9.803921569,0,0,2.941176471,15.68627451,0,0.980392157,0,0,17.64705882,0,0,12.74509804,0.980392157,0.980392157,0,0,0,0,0,26.47058824,4.901960784,0,0,5.882352941
19,,,0,0,0,2.040816327,0,0,0,3.06122449,0,0,1.020408163,36.73469388,0,0,1.020408163,0,1.020408163,0,1.020408163,18.36734694,2.040816327,0,0,0,0,0,0,20.40816327,8.163265306,1.020408163,0,4.081632653
29,,,0,1.075268817,1.075268817,0,0,10.75268817,0,0,0,0,0,15.05376344,0,1.075268817,1.075268817,5.376344086,2.150537634,0,0,11.82795699,6.451612903,0,0,0,1.075268817,6.451612903,1.075268817,34.40860215,0,0,0,1.075268817
39,,,0,0.877192982,8.771929825,0,0,21.05263158,0,2.631578947,0,0,1.754385965,9.649122807,0,0,0.877192982,2.631578947,0,0,0,4.385964912,5.263157895,0.877192982,0,3.50877193,0,0.877192982,0,20.1754386,12.28070175,0,3.50877193,0.877192982
50,,,0,3.883495146,11.65048544,0,0,23.30097087,0,3.883495146,0,0,0.970873786,4.854368932,0,0.970873786,0.970873786,0.970873786,0,0,0,11.65048544,3.883495146,0,0,0.970873786,0,3.883495146,0,17.47572816,9.708737864,0,0.970873786,0
59,,,0,19.3877551,16.32653061,0,0,34.69387755,1.020408163,1.020408163,0,0,0,3.06122449,0,1.020408163,1.020408163,1.020408163,1.020408163,0,0,2.040816327,0,0,0,0,1.020408163,3.06122449,0,0,10.20408163,0,1.020408163,3.06122449
69,,,0,10.52631579,16.84210526,0,0,24.21052632,0,8.421052632,0,0,0,7.368421053,0,0,1.052631579,3.157894737,0,0,1.052631579,1.052631579,3.157894737,0,0,0,0,1.052631579,0,4.210526316,17.89473684,0,0,0
79,,,1,1,5,0,1,10,2,5,0,0,0,21,1,0,1,1,0,0,0,9,0,1,0,0,0,2,0,31,8,0,0,0
89,,,0,3,6,0,0,13,3,3,0,0,1,17,0,0,1,0,0,1,0,16,2,0,0,1,1,1,0,23,8,0,0,0
100,,,0,11.2244898,19.3877551,0,0,12.24489796,1.020408163,4.081632653,0,0,0,13.26530612,0,0,0,4.081632653,0,0,0,2.040816327,0,0,2.040816327,3.06122449,0,2.040816327,0,12.24489796,13.26530612,0,0,0
109,,,0,3.225806452,3.225806452,0,0,15.05376344,0,3.225806452,1.075268817,1.075268817,0,11.82795699,1.075268817,0,1.075268817,0,0,0,0,22.58064516,2.150537634,0,0,1.075268817,0,0,0,17.20430108,15.05376344,0,1.075268817,0
119,,,0,2.222222222,4.444444444,0,0,17.77777778,4.444444444,4.444444444,0,0,2.222222222,4.444444444,0,0,0,0,0,0,0,11.11111111,11.11111111,2.222222222,0,8.888888889,2.222222222,2.222222222,0,8.888888889,8.888888889,0,4.444444444,0
129,,,0,5.660377358,9.433962264,0,0,18.86792453,1.886792453,2.830188679,0.943396226,0,0,9.433962264,0,0,0,0.943396226,0,1.886792453,0,29.24528302,0.943396226,0,0,0.943396226,0,0,0,10.37735849,6.603773585,0,0,0
139,,,0,3.96039604,7.920792079,0,0,20.79207921,0.99009901,2.97029703,0,0,0,10.89108911,0,0,0,0,0,2.97029703,0,11.88118812,1.98019802,0.99009901,0,0.99009901,0,0,0,7.920792079,23.76237624,0,0.99009901,0.99009901
149,,,0,3.96039604,5.940594059,0,0,7.920792079,3.96039604,3.96039604,0,0,0,17.82178218,0,0,2.97029703,0,0,0,0,23.76237624,2.97029703,0,0,2.97029703,0,0,0.99009901,10.89108911,11.88118812,0,0,0
