Depths,NEB MIL,ARC WRI,ARC FLA,ASS MUS,ASS SEM,CEN ACU,CEN AER,COR TRI,CRY OVI,CYC ARC,DIF OBL,DIF LUC,CRY SAC,EUG ROT,EUG CIL,ARC DIS,HEL PET,HEL ROS,HEL SYL,HEL ELE,NEB COL,HYA PAP,HYA SUB,NEB FLA,NEB TIN,GIB PEN,TRI ARC
9,26.47058824,0,0.980392157,4.901960784,0,0,0,0,0,15.68627451,0,9.803921569,12.74509804,0.980392157,0,0,0,0,0.980392157,2.941176471,0.980392157,0,17.64705882,0,0,0,5.882352941
19,20.40816327,0,0,8.163265306,0,0,1.020408163,0,1.020408163,36.73469388,0,3.06122449,18.36734694,0,0,2.040816327,1.020408163,0,2.040816327,1.020408163,0,0,1.020408163,0,0,0,4.081632653
29,34.40860215,2.150537634,10.75268817,0,0,0,0,0,0,15.05376344,0,0,11.82795699,0,0,0,6.451612903,0,6.451612903,0,1.075268817,1.075268817,2.150537634,6.451612903,1.075268817,0,1.075268817
39,20.1754386,9.649122807,21.05263158,12.28070175,3.50877193,0,0,3.50877193,0,9.649122807,0,2.631578947,4.385964912,0.877192982,0,0,3.50877193,0,5.263157895,1.754385965,0,0,0,0.877192982,0,0,0.877192982
50,17.47572816,15.53398058,23.30097087,9.708737864,0.970873786,0,0,0.970873786,0,4.854368932,0,3.883495146,11.65048544,0,0,0,1.941747573,0,3.883495146,0.970873786,0.970873786,0,0,3.883495146,0,0,0
59,0,35.71428571,34.69387755,10.20408163,0,1.020408163,0,1.020408163,0,3.06122449,0,1.020408163,2.040816327,0,0,0,2.040816327,0,0,0,1.020408163,1.020408163,1.020408163,3.06122449,0,0,3.06122449
69,4.210526316,27.36842105,24.21052632,17.89473684,0,0,1.052631579,0,0,7.368421053,0,8.421052632,1.052631579,0,0,0,4.210526316,0,3.157894737,0,0,0,0,1.052631579,0,0,0
79,31,6,10,8,0,2,0,0,0,21,1,5,9,1,0,0,2,0,0,0,1,0,0,2,0,1,0
89,23,9,13,8,1,3,0,0,0,17,0,3,16,0,1,0,1,0,2,1,0,1,0,1,0,0,0
100,12.24489796,30.6122449,12.24489796,13.26530612,3.06122449,1.020408163,0,0,0,13.26530612,0,4.081632653,2.040816327,0,0,0,4.081632653,2.040816327,0,0,0,0,0,2.040816327,0,0,0
109,17.20430108,6.451612903,15.05376344,15.05376344,1.075268817,0,0,1.075268817,0,11.82795699,0,5.376344086,22.58064516,0,0,0,1.075268817,0,2.150537634,0,1.075268817,0,0,0,0,0,0
119,8.888888889,6.666666667,17.77777778,8.888888889,8.888888889,4.444444444,0,4.444444444,0,4.444444444,0,4.444444444,11.11111111,2.222222222,0,0,0,0,11.11111111,2.222222222,0,2.222222222,0,2.222222222,0,0,0
129,10.37735849,15.09433962,18.86792453,6.603773585,0.943396226,1.886792453,0,0,0,9.433962264,0,3.773584906,29.24528302,0,1.886792453,0,0.943396226,0,0.943396226,0,0,0,0,0,0,0,0
139,7.920792079,11.88118812,20.79207921,23.76237624,0.99009901,0.99009901,0,0.99009901,0,10.89108911,0,2.97029703,11.88118812,0.99009901,2.97029703,0,0,0,1.98019802,0,0,0,0,0,0,0,0.99009901
149,10.89108911,9.900990099,7.920792079,11.88118812,2.97029703,3.96039604,0,0,0,17.82178218,0,3.96039604,23.76237624,0,0,0,2.97029703,0,2.97029703,0,0,0,0,0,0.99009901,0,0
