Sample Name,Depth,Top depth,Averaged 
Wicklow_09_3-5cm,3-5cm,3,0.26847
Wicklow_09_8-10cm,8-10cm,8,0.36662
Wicklow_09_13-15cm,13-15cm,13,0.36347
Wicklow_09_18-20cm,18-20cm,18,0.345256667
Wicklow_09_23-25cm,23-25cm,23,0.438936667
Wicklow_09_28-30cm,28-30cm,28,0.442016667
Wicklow_09_33-35cm,33-35cm,33,0.433616667
Wicklow_09_38-40cm,38-40cm,38,0.406243333
Wicklow_09_43-45cm,43-45cm,43,0.451566667
Wicklow_09_50-52cm,50-52cm,50,0.374796667
Wicklow_09_53-55cm,53-55cm,53,0.371743333
Wicklow_09_58-60cm,58-60cm,58,0.285246667
Wicklow_09_63-65cm,63-65cm,63,0.308316667
Wicklow_09_68-70cm,68-70cm,68,0.27652
Wicklow_09_73-75cm,73-75cm,73,0.34687
Wicklow_09_78-80cm,78-80cm,78,0.374663333
Wicklow_09_83-85cm,83-85cm,83,0.42651
Wicklow_09_88-90cm,88-90cm,88,0.39686
Wicklow_09_93-95cm,93-95cm,93,0.380476667
Wicklow_09_100-102cm,100-102cm,100,0.45969
Wicklow_09_103-105cm,103-105cm,103,0.416376667
Wicklow_09_108-110cm,108-110cm,108,0.380616667
Wicklow_09_113-115cm,113-115cm,113,0.315476667
Wicklow_09_118-120cm,118-120cm,118,0.282696667
Wicklow_09_123-125cm,123-125cm,123,0.261273333
Wicklow_09_128-130cm,128-130cm,128,0.323006667
Wicklow_09_133-135cm,133-135cm,133,0.371763333
Wicklow_09_138-140cm,138-140cm,138,0.473753333
Wicklow_09_143-145cm,143-145cm,143,0.512406667
Wicklow_09_148-150cm,148-150cm,148,0.497083333
